algorithm,accuracy,recall,precision,f1,predicted_positive,predicted_negative,runtime
GA,0.9128205128205128,1.0,0.8963414634146342,0.9453376205787781,164,31,85.75308775901794
PSO,0.9128205128205128,1.0,0.8963414634146342,0.9453376205787781,164,31,53.31279373168945
DE,0.8923076923076924,1.0,0.875,0.9333333333333333,168,27,17.536591053009033
ABC,0.8512820512820513,0.9795918367346939,0.8470588235294118,0.9085173501577287,170,25,37.14101552963257
