iteration,best_fitness
1,0.8792569659442725
2,0.8792569659442725
3,0.8792569659442725
4,0.8792569659442725
5,0.8792569659442725
6,0.8792569659442725
7,0.8838709677419355
8,0.8838709677419355
9,0.8838709677419355
10,0.8838709677419355
11,0.8838709677419355
12,0.8838709677419355
13,0.8838709677419355
14,0.8838709677419355
15,0.8838709677419355
16,0.8838709677419355
17,0.8838709677419355
18,0.8838709677419355
19,0.8838709677419355
20,0.8838709677419355
21,0.8838709677419355
22,0.8838709677419355
23,0.8838709677419355
24,0.8838709677419355
25,0.8838709677419355
26,0.8838709677419355
27,0.8838709677419355
28,0.8838709677419355
29,0.8838709677419355
30,0.8838709677419355
31,0.8838709677419355
32,0.8838709677419355
33,0.8838709677419355
34,0.8838709677419355
35,0.8838709677419355
36,0.8838709677419355
37,0.8838709677419355
38,0.8838709677419355
39,0.8838709677419355
40,0.8838709677419355
41,0.8838709677419355
42,0.8838709677419355
43,0.8838709677419355
44,0.8838709677419355
45,0.8838709677419355
46,0.8838709677419355
47,0.8838709677419355
48,0.8838709677419355
49,0.8838709677419355
50,0.8838709677419355
