initialization,selection,crossover,mutation,pop_size,n_generations,mutation_rate,crossover_rate,elitism,mean_fitness,std_fitness,all_fitnesses
xavier_initialization,rank_selection,arithmetic_crossover,uniform_mutation,100,100,0.01,0.9,2,0.8710032479249369,0.006297365571995672,"[0.8647058823529412, 0.8773006134969326]"
xavier_initialization,rank_selection,arithmetic_crossover,non_uniform_mutation,100,100,0.01,0.9,2,0.86420606309655,0.002035975120010469,"[0.8662420382165605, 0.8621700879765396]"
xavier_initialization,rank_selection,blend_crossover,gaussian_mutation,100,100,0.01,0.9,2,0.8902475618904726,0.00652663165791445,"[0.8837209302325582, 0.896774193548387]"
xavier_initialization,rank_selection,blend_crossover,uniform_mutation,100,100,0.01,0.9,2,0.8636869248660127,0.0015168368894731277,"[0.8652037617554859, 0.8621700879765396]"
xavier_initialization,rank_selection,blend_crossover,non_uniform_mutation,100,100,0.01,0.9,2,0.8701296211075318,0.01037352354655624,"[0.8597560975609756, 0.8805031446540881]"
random_initialization,roulette_selection,arithmetic_crossover,gaussian_mutation,100,100,0.05,0.9,2,0.9292782034182202,0.0027606315332361353,"[0.9320388349514563, 0.9265175718849841]"
random_initialization,roulette_selection,arithmetic_crossover,uniform_mutation,100,100,0.05,0.9,2,0.923376888525929,0.005655369538587196,"[0.9290322580645162, 0.9177215189873418]"
random_initialization,roulette_selection,arithmetic_crossover,non_uniform_mutation,100,100,0.05,0.9,2,0.9272151898734178,0.003164556962025278,"[0.9240506329113924, 0.930379746835443]"
random_initialization,roulette_selection,blend_crossover,gaussian_mutation,100,100,0.05,0.9,2,0.9221114802510151,0.0014765596160945527,"[0.9235880398671097, 0.9206349206349206]"
random_initialization,roulette_selection,blend_crossover,uniform_mutation,100,100,0.05,0.9,2,0.9170552507836991,0.001694749216300917,"[0.9153605015673981, 0.91875]"
random_initialization,roulette_selection,blend_crossover,non_uniform_mutation,100,100,0.05,0.9,2,0.9181456516809927,0.0009481994516933323,"[0.919093851132686, 0.9171974522292994]"
random_initialization,tournament_selection,arithmetic_crossover,gaussian_mutation,100,100,0.05,0.9,2,0.9423076923076923,0.0,"[0.9423076923076923, 0.9423076923076923]"
random_initialization,tournament_selection,arithmetic_crossover,uniform_mutation,100,100,0.05,0.9,2,0.9438226564432353,0.0015149641355429178,"[0.9453376205787781, 0.9423076923076923]"
random_initialization,tournament_selection,arithmetic_crossover,non_uniform_mutation,100,100,0.05,0.9,2,0.9453376205787781,0.0,"[0.9453376205787781, 0.9453376205787781]"
random_initialization,tournament_selection,blend_crossover,gaussian_mutation,100,100,0.05,0.9,2,0.9305236564079008,0.0019522278364721979,"[0.932475884244373, 0.9285714285714286]"
random_initialization,tournament_selection,blend_crossover,uniform_mutation,100,100,0.05,0.9,2,0.933558203560095,0.0010823193157220024,"[0.934640522875817, 0.932475884244373]"
