phase,algo,run,seed,recall,precision,f1,accuracy,n_pred_pos,n_pred_neg,degenerate,fitness_signal,elapsed,selection_method,crossover_method,mutation_method
5,GA-standard,1,42,1.0,0.8546511627906976,0.9216300940438872,0.8717948717948718,172,23,False,0.9216300940438872,13.466138899326324,tournament,arithmetic,gaussian
5,GA-extended,1,42,0.9931972789115646,0.8795180722891566,0.9329073482428115,0.8923076923076924,166,29,False,0.9329073482428115,10.479346100240946,rank,two_point,adaptive
5,PSO,1,42,1.0,0.8855421686746988,0.939297124600639,0.9025641025641026,166,29,False,0.939297124600639,10.79988949932158,pso,pso,pso
5,GA-standard,2,43,1.0,0.8448275862068966,0.9158878504672897,0.8615384615384616,174,21,False,0.9158878504672897,11.498559599742293,tournament,arithmetic,gaussian
5,GA-extended,2,43,0.9863945578231292,0.8630952380952381,0.9206349206349206,0.8717948717948718,168,27,False,0.9206349206349206,13.415591600351036,rank,two_point,adaptive
5,PSO,2,43,0.9727891156462585,0.89375,0.9315960912052117,0.8923076923076924,160,35,False,0.9315960912052117,12.370399699546397,pso,pso,pso
5,GA-standard,3,44,0.9931972789115646,0.8538011695906432,0.9182389937106918,0.8666666666666667,171,24,False,0.9182389937106918,18.715107699856162,tournament,arithmetic,gaussian
5,GA-extended,3,44,1.0,0.8546511627906976,0.9216300940438872,0.8717948717948718,172,23,False,0.9216300940438872,15.121127099730074,rank,two_point,adaptive
5,PSO,3,44,0.9931972789115646,0.8588235294117647,0.9211356466876972,0.8717948717948718,170,25,False,0.9211356466876972,4.424548000097275,pso,pso,pso
5,GA-standard,4,45,0.9931972789115646,0.8690476190476191,0.926984126984127,0.882051282051282,168,27,False,0.926984126984127,10.695634400472045,tournament,arithmetic,gaussian
5,GA-extended,4,45,1.0,0.8596491228070176,0.9245283018867925,0.8769230769230769,171,24,False,0.9245283018867925,9.982039900496602,rank,two_point,adaptive
5,PSO,4,45,1.0,0.8909090909090909,0.9423076923076923,0.9076923076923077,165,30,False,0.9423076923076923,11.134734800085425,pso,pso,pso
5,GA-standard,5,46,1.0,0.7777777777777778,0.875,0.7846153846153846,189,6,False,0.875,9.980029100552201,tournament,arithmetic,gaussian
5,GA-extended,5,46,0.9727891156462585,0.9050632911392406,0.9377049180327869,0.9025641025641026,158,37,False,0.9377049180327869,9.972688799723983,rank,two_point,adaptive
5,PSO,5,46,0.9931972789115646,0.8848484848484849,0.9358974358974359,0.8974358974358975,165,30,False,0.9358974358974359,9.951412099413574,pso,pso,pso
5,GA-standard,6,47,0.9931972789115646,0.8690476190476191,0.926984126984127,0.882051282051282,168,27,False,0.926984126984127,9.567570900544524,tournament,arithmetic,gaussian
5,GA-extended,6,47,0.9931972789115646,0.8588235294117647,0.9211356466876972,0.8717948717948718,170,25,False,0.9211356466876972,9.726923000067472,rank,two_point,adaptive
5,PSO,6,47,1.0,0.875,0.9333333333333333,0.8923076923076924,168,27,False,0.9333333333333333,9.276482899673283,pso,pso,pso
5,GA-standard,7,48,0.9931972789115646,0.9125,0.9511400651465798,0.9230769230769231,160,35,False,0.9511400651465798,11.992666200734675,tournament,arithmetic,gaussian
5,GA-extended,7,48,0.9863945578231292,0.9235668789808917,0.9539473684210527,0.9282051282051282,157,38,False,0.9539473684210527,9.819220500066876,rank,two_point,adaptive
5,PSO,7,48,1.0,0.901840490797546,0.9483870967741935,0.9179487179487179,163,32,False,0.9483870967741935,15.064487500116229,pso,pso,pso
5,GA-standard,8,49,1.0,0.8647058823529412,0.9274447949526814,0.882051282051282,170,25,False,0.9274447949526814,10.140759700909257,tournament,arithmetic,gaussian
5,GA-extended,8,49,1.0,0.8855421686746988,0.939297124600639,0.9025641025641026,166,29,False,0.939297124600639,12.685818300582469,rank,two_point,adaptive
5,PSO,8,49,1.0,0.9074074074074074,0.9514563106796117,0.9230769230769231,162,33,False,0.9514563106796117,18.946084099821746,pso,pso,pso
5,GA-standard,9,50,1.0,0.8647058823529412,0.9274447949526814,0.882051282051282,170,25,False,0.9274447949526814,17.125313400290906,tournament,arithmetic,gaussian
5,GA-extended,9,50,1.0,0.8305084745762712,0.9074074074074074,0.8461538461538461,177,18,False,0.9074074074074074,17.832024600356817,rank,two_point,adaptive
5,PSO,9,50,1.0,0.8909090909090909,0.9423076923076923,0.9076923076923077,165,30,False,0.9423076923076923,12.88456769939512,pso,pso,pso
5,GA-standard,10,51,1.0,0.875,0.9333333333333333,0.8923076923076924,168,27,False,0.9333333333333333,16.511536300182343,tournament,arithmetic,gaussian
5,GA-extended,10,51,0.9931972789115646,0.8538011695906432,0.9182389937106918,0.8666666666666667,171,24,False,0.9182389937106918,16.700293499976397,rank,two_point,adaptive
5,PSO,10,51,0.9931972789115646,0.948051948051948,0.9700996677740864,0.9538461538461539,154,41,False,0.9700996677740864,10.294166799634695,pso,pso,pso
