algorithm,fitness_metric,colony_size,n_iterations,limit,best_fitness,accuracy,recall,precision,f1,n_pred_pos,n_pred_neg,runtime,seed
ABC,f1,20,50,10,0.8932038834951457,0.8307692307692308,0.9387755102040817,0.8518518518518519,0.8932038834951457,162,33,6.022414684295654,42
ABC,f1,50,30,5,0.8860759493670886,0.8153846153846154,0.9523809523809523,0.8284023668639053,0.8860759493670886,169,26,13.147611618041992,42
ABC,f1,50,50,5,0.8860759493670886,0.8153846153846154,0.9523809523809523,0.8284023668639053,0.8860759493670886,169,26,14.365065574645996,42
ABC,f1,50,30,10,0.8838709677419355,0.8153846153846154,0.9319727891156463,0.8404907975460123,0.8838709677419355,163,32,9.16359543800354,42
ABC,f1,50,50,10,0.8838709677419355,0.8153846153846154,0.9319727891156463,0.8404907975460123,0.8838709677419355,163,32,13.248177766799927,42
ABC,f1,20,50,5,0.8792569659442725,0.8,0.9659863945578231,0.8068181818181818,0.8792569659442725,176,19,5.556807994842529,42
ABC,f1,20,30,5,0.8792569659442725,0.8,0.9659863945578231,0.8068181818181818,0.8792569659442725,176,19,3.3123860359191895,42
ABC,f1,20,30,10,0.8792569659442725,0.8,0.9659863945578231,0.8068181818181818,0.8792569659442725,176,19,3.1083879470825195,42
