initialization,selection,crossover,mutation,pop_size,n_generations,mutation_rate,crossover_rate,elitism,mean_fitness,std_fitness,all_fitnesses
xavier_initialization,rank_selection,arithmetic_crossover,uniform_mutation,100,200,0.05,0.9,2,0.8874956052970819,0.000703152466893231,"[0.8867924528301887, 0.8881987577639752]"
xavier_initialization,rank_selection,arithmetic_crossover,non_uniform_mutation,100,200,0.05,0.9,2,0.8754283526371207,0.014894228008040633,"[0.8605341246290801, 0.8903225806451613]"
xavier_initialization,rank_selection,blend_crossover,gaussian_mutation,100,200,0.05,0.9,2,0.9040089883049895,0.005648332567284586,"[0.898360655737705, 0.9096573208722741]"
xavier_initialization,rank_selection,blend_crossover,uniform_mutation,100,200,0.05,0.9,2,0.8713366163153138,0.009166528338774238,"[0.8621700879765396, 0.8805031446540881]"
xavier_initialization,rank_selection,blend_crossover,non_uniform_mutation,100,200,0.05,0.9,2,0.8738296097153981,0.008157967924353415,"[0.8819875776397516, 0.8656716417910447]"
random_initialization,roulette_selection,arithmetic_crossover,gaussian_mutation,100,200,0.1,0.9,2,0.9240506329113924,0.0,"[0.9240506329113924, 0.9240506329113924]"
random_initialization,roulette_selection,arithmetic_crossover,uniform_mutation,100,200,0.1,0.9,2,0.9274447949526814,0.0,"[0.9274447949526814, 0.9274447949526814]"
random_initialization,roulette_selection,arithmetic_crossover,non_uniform_mutation,100,200,0.1,0.9,2,0.9269733129081674,0.0034064339272756317,"[0.9235668789808917, 0.930379746835443]"
random_initialization,roulette_selection,blend_crossover,gaussian_mutation,100,200,0.1,0.9,2,0.9269934693219383,0.002942836410545824,"[0.9240506329113924, 0.9299363057324841]"
random_initialization,roulette_selection,blend_crossover,uniform_mutation,100,200,0.1,0.9,2,0.9301587301587302,0.0031746031746031633,"[0.9333333333333333, 0.926984126984127]"
random_initialization,roulette_selection,blend_crossover,non_uniform_mutation,100,200,0.1,0.9,2,0.916799747639045,0.0014392460716468602,"[0.9153605015673981, 0.9182389937106918]"
random_initialization,tournament_selection,arithmetic_crossover,gaussian_mutation,100,200,0.1,0.9,2,0.9363152289669862,0.002981895633652809,"[0.9333333333333333, 0.939297124600639]"
random_initialization,tournament_selection,arithmetic_crossover,uniform_mutation,100,200,0.1,0.9,2,0.9370053252584316,0.0006995927743552177,"[0.9377049180327869, 0.9363057324840764]"
random_initialization,tournament_selection,arithmetic_crossover,non_uniform_mutation,100,200,0.1,0.9,2,0.937606242447826,0.0013005099637495854,"[0.9389067524115756, 0.9363057324840764]"
random_initialization,tournament_selection,blend_crossover,gaussian_mutation,100,200,0.1,0.9,2,0.9282835684191244,0.0037552665323319356,"[0.9320388349514563, 0.9245283018867925]"
random_initialization,tournament_selection,blend_crossover,uniform_mutation,100,200,0.1,0.9,2,0.9293527508090615,0.002686084142394851,"[0.9266666666666666, 0.9320388349514563]"
random_initialization,tournament_selection,blend_crossover,non_uniform_mutation,100,200,0.1,0.9,2,0.9334953601414051,0.00198851082633672,"[0.9354838709677419, 0.9315068493150684]"
random_initialization,rank_selection,arithmetic_crossover,gaussian_mutation,100,200,0.1,0.9,2,0.8750707137200044,0.002005698240128362,"[0.8770764119601329, 0.8730650154798761]"
random_initialization,rank_selection,arithmetic_crossover,uniform_mutation,100,200,0.1,0.9,2,0.8834204743502312,0.015950594832158826,"[0.89937106918239, 0.8674698795180723]"
random_initialization,rank_selection,arithmetic_crossover,non_uniform_mutation,100,200,0.1,0.9,2,0.8802490096208263,0.010073571024335037,"[0.8903225806451613, 0.8701754385964913]"
random_initialization,rank_selection,blend_crossover,gaussian_mutation,100,200,0.1,0.9,2,0.8817243612509662,0.01417469237679403,"[0.8958990536277602, 0.8675496688741722]"
random_initialization,rank_selection,blend_crossover,uniform_mutation,100,200,0.1,0.9,2,0.8884608156361586,0.006107874459688023,"[0.8823529411764706, 0.8945686900958466]"
random_initialization,rank_selection,blend_crossover,non_uniform_mutation,100,200,0.1,0.9,2,0.8713373594420383,0.0015148742349376798,"[0.8698224852071006, 0.872852233676976]"
xavier_initialization,roulette_selection,arithmetic_crossover,gaussian_mutation,100,200,0.1,0.9,2,0.9282051282051282,0.00512820512820511,"[0.9230769230769231, 0.9333333333333333]"
